model,seed,accuracy,f1,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
DistilBERT,0,0.4010212097407698,0.3421148458880628,26.118155241012573,0.476543664932251,2546,2026-05-07T22:23:54.084088+00:00,2026-05-07T22:24:20.202253+00:00,2026-05-07T22:24:20.622910+00:00,2026-05-07T22:24:21.099460+00:00,0.00029730668653548433,0.0020467749622051384,0.002344081648740623,26.118165,27,5.697832751260431e-06,3.7443063e-05,4.314089575126043e-05,0.47655,4
DistilBERT,1,0.3845247446975648,0.3509541537282163,25.527247428894043,0.4774224758148193,2546,2026-05-07T22:24:21.580606+00:00,2026-05-07T22:24:47.107876+00:00,2026-05-07T22:24:47.540034+00:00,2026-05-07T22:24:48.017463+00:00,0.00026262743537991894,0.00196374830072625,0.0022263757361061687,25.52727,25,5.296126329439592e-06,3.596260466333333e-05,4.125873099277292e-05,0.477429,4
DistilBERT,2,0.3864886095836606,0.3459068519210486,25.5709490776062,0.4886603355407715,2546,2026-05-07T22:24:48.542874+00:00,2026-05-07T22:25:14.113840+00:00,2026-05-07T22:25:14.548523+00:00,2026-05-07T22:25:15.037191+00:00,0.0002559707850761815,0.0019596169654904167,0.0022155877505665982,25.570966,25,5.599343039018421e-06,3.6922260927777774e-05,4.2521603966796194e-05,0.488668,4
DistilBERT,3,0.3959151610369206,0.3462540878785003,25.57655930519104,0.4891712665557861,2546,2026-05-07T22:25:15.548364+00:00,2026-05-07T22:25:41.124940+00:00,2026-05-07T22:25:41.575795+00:00,2026-05-07T22:25:42.064972+00:00,0.00025811467087649676,0.001963496796549861,0.002221611467426358,25.576576,25,5.537219210748943e-06,3.7012116968124996e-05,4.254933617887394e-05,0.489177,4
DistilBERT,4,0.4112333071484682,0.344709571641737,25.57769227027893,0.4863414764404297,2546,2026-05-07T22:25:42.569695+00:00,2026-05-07T22:26:08.147409+00:00,2026-05-07T22:26:08.599582+00:00,2026-05-07T22:26:09.085931+00:00,0.0002612474561565273,0.001960090564994167,0.0022213380211506947,25.577714,25,5.676286127654512e-06,3.7187325315555556e-05,4.286361144321007e-05,0.486349,4
DistilBERT,5,0.3959151610369206,0.3409704912219427,25.5751895904541,0.490431547164917,2546,2026-05-07T22:26:09.599970+00:00,2026-05-07T22:26:35.175201+00:00,2026-05-07T22:26:35.641163+00:00,2026-05-07T22:26:36.131601+00:00,0.0002679050275892443,0.001961144482423611,0.0022290495100128556,25.575231,25,5.873924865423967e-06,3.7972604906527776e-05,4.3846529771951744e-05,0.490438,4
DistilBERT,6,0.4300864100549882,0.2798909528672909,25.54764032363892,0.4955606460571289,2546,2026-05-07T22:26:36.620919+00:00,2026-05-07T22:27:02.168592+00:00,2026-05-07T22:27:02.626298+00:00,2026-05-07T22:27:03.121865+00:00,0.00026970989572768037,0.0019646874960987503,0.0022343973918264306,25.547673,25,6.0100677016213985e-06,3.7997083509375e-05,4.40071512109964e-05,0.495567,4
DistilBERT,7,0.4128043990573448,0.3348527239296471,25.50549554824829,0.504230260848999,2546,2026-05-07T22:27:03.613554+00:00,2026-05-07T22:27:29.119071+00:00,2026-05-07T22:27:29.581751+00:00,2026-05-07T22:27:30.085988+00:00,0.00026769296995001265,0.0019691482740805556,0.002236841244030568,25.505517,25,6.011485131799661e-06,3.8403635364375e-05,4.4415120496174664e-05,0.504237,4
DistilBERT,8,0.3747054202670856,0.333463035585072,25.62157678604126,0.5020794868469238,2546,2026-05-07T22:27:30.590046+00:00,2026-05-07T22:27:56.211642+00:00,2026-05-07T22:27:56.687054+00:00,2026-05-07T22:27:57.189139+00:00,0.00027181159166391464,0.001964777275445417,0.0022365888671093317,25.621596,25,6.232997498878083e-06,3.8117839928819436e-05,4.435083742769752e-05,0.502085,4
DistilBERT,9,0.3900235663786331,0.3343122888368102,25.64586901664734,0.5085282325744629,2546,2026-05-07T22:27:57.712318+00:00,2026-05-07T22:28:23.358216+00:00,2026-05-07T22:28:23.832093+00:00,2026-05-07T22:28:24.340627+00:00,0.0002801065193394866,0.0019598536086705555,0.002239960128010042,25.645898,25,6.526706270796461e-06,3.816417005013889e-05,4.469087632093535e-05,0.508534,4
