model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso
Linear Regression,0,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.0005831718444824219,6.222724914550781e-05,622,2026-05-07T22:54:10.014561+00:00,2026-05-07T22:54:10.015151+00:00,2026-05-07T22:54:10.015156+00:00,2026-05-07T22:54:10.015220+00:00
Linear Regression +NLP,0,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.0004799365997314453,4.553794860839844e-05,622,2026-05-07T22:54:10.015670+00:00,2026-05-07T22:54:10.016154+00:00,2026-05-07T22:54:10.016157+00:00,2026-05-07T22:54:10.016204+00:00
Linear Regression,1,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.00037598609924316406,4.9591064453125e-05,622,2026-05-07T22:54:10.016632+00:00,2026-05-07T22:54:10.017012+00:00,2026-05-07T22:54:10.017016+00:00,2026-05-07T22:54:10.017067+00:00
Linear Regression +NLP,1,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.0004305839538574219,4.38690185546875e-05,622,2026-05-07T22:54:10.017449+00:00,2026-05-07T22:54:10.017883+00:00,2026-05-07T22:54:10.017886+00:00,2026-05-07T22:54:10.017931+00:00
Linear Regression,2,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.00037479400634765625,4.458427429199219e-05,622,2026-05-07T22:54:10.018313+00:00,2026-05-07T22:54:10.018691+00:00,2026-05-07T22:54:10.018695+00:00,2026-05-07T22:54:10.018741+00:00
Linear Regression +NLP,2,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.0004360675811767578,4.506111145019531e-05,622,2026-05-07T22:54:10.019102+00:00,2026-05-07T22:54:10.019542+00:00,2026-05-07T22:54:10.019545+00:00,2026-05-07T22:54:10.019591+00:00
Linear Regression,3,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.0003681182861328125,4.982948303222656e-05,622,2026-05-07T22:54:10.019951+00:00,2026-05-07T22:54:10.020322+00:00,2026-05-07T22:54:10.020326+00:00,2026-05-07T22:54:10.020377+00:00
Linear Regression +NLP,3,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.00042629241943359375,4.458427429199219e-05,622,2026-05-07T22:54:10.020759+00:00,2026-05-07T22:54:10.021189+00:00,2026-05-07T22:54:10.021192+00:00,2026-05-07T22:54:10.021238+00:00
Linear Regression,4,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.00037384033203125,4.38690185546875e-05,622,2026-05-07T22:54:10.021607+00:00,2026-05-07T22:54:10.021985+00:00,2026-05-07T22:54:10.021988+00:00,2026-05-07T22:54:10.022034+00:00
Linear Regression +NLP,4,0.0056205454800683785,0.07497029731879405,0.05689697068079405,-0.008338822151558789,0.0004220008850097656,4.9591064453125e-05,622,2026-05-07T22:54:10.022389+00:00,2026-05-07T22:54:10.022815+00:00,2026-05-07T22:54:10.022818+00:00,2026-05-07T22:54:10.022869+00:00
Linear Regression,5,0.005647076821901055,0.0751470346846837,0.05725683789405425,-0.013098606067289298,0.00037360191345214844,4.1961669921875e-05,622,2026-05-07T22:54:10.023261+00:00,2026-05-07T22:54:10.023639+00:00,2026-05-07T22:54:10.023642+00:00,2026-05-07T22:54:10.023685+00:00
