model,seed,mse,rmse,mae,r2,train_time_s,infer_time_s,n_test_samples,wall_train_start_iso,wall_train_end_iso,wall_infer_start_iso,wall_infer_end_iso,energy_train_cpu_kwh,energy_train_gpu_kwh,energy_train_kwh,energy_train_duration_s,energy_train_n_samples,energy_infer_cpu_kwh,energy_infer_gpu_kwh,energy_infer_kwh,energy_infer_duration_s,energy_infer_n_samples
Linear Regression,0,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0005831718444824,6.222724914550781e-05,622,2026-05-07T22:54:10.014561+00:00,2026-05-07T22:54:10.015151+00:00,2026-05-07T22:54:10.015156+00:00,2026-05-07T22:54:10.015220+00:00,8.861580448530444e-09,1.1652786805555558e-08,2.0514367254086004e-08,0.00059,4,9.612561842473702e-10,1.2640311111111112e-09,2.2252872953584814e-09,6.4e-05,4
Linear Regression +NLP,0,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004799365997314,4.553794860839844e-05,622,2026-05-07T22:54:10.015670+00:00,2026-05-07T22:54:10.016154+00:00,2026-05-07T22:54:10.016157+00:00,2026-05-07T22:54:10.016204+00:00,7.2694998933707365e-09,9.55923527777778e-09,1.6828735171148516e-08,0.000484,4,7.059225103066623e-10,9.282728472222223e-10,1.6341953575288846e-09,4.7e-05,4
Linear Regression,1,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003759860992431,4.9591064453125e-05,622,2026-05-07T22:54:10.016632+00:00,2026-05-07T22:54:10.017012+00:00,2026-05-07T22:54:10.017016+00:00,2026-05-07T22:54:10.017067+00:00,5.707458593968761e-09,7.505184722222225e-09,1.3212643316190986e-08,0.00038,4,7.66001021822123e-10,1.0072747916666668e-09,1.7732758134887898e-09,5.1e-05,4
Linear Regression +NLP,1,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004305839538574,4.38690185546875e-05,622,2026-05-07T22:54:10.017449+00:00,2026-05-07T22:54:10.017883+00:00,2026-05-07T22:54:10.017886+00:00,2026-05-07T22:54:10.017931+00:00,6.518518499427478e-09,8.571710972222224e-09,1.50902294716497e-08,0.000434,4,6.758832545489322e-10,8.887718750000002e-10,1.5646551295489325e-09,4.5e-05,4
Linear Regression,2,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003747940063476,4.458427429199219e-05,622,2026-05-07T22:54:10.018313+00:00,2026-05-07T22:54:10.018691+00:00,2026-05-07T22:54:10.018695+00:00,2026-05-07T22:54:10.018741+00:00,5.67741933821103e-09,7.465683750000001e-09,1.314310308821103e-08,0.000378,4,6.909028824277974e-10,9.085223611111113e-10,1.5994252435389086e-09,4.6e-05,4
Linear Regression +NLP,2,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004360675811767,4.506111145019531e-05,622,2026-05-07T22:54:10.019102+00:00,2026-05-07T22:54:10.019542+00:00,2026-05-07T22:54:10.019545+00:00,2026-05-07T22:54:10.019591+00:00,6.6086362667006695e-09,8.69021388888889e-09,1.529885015558956e-08,0.00044,4,6.909028824277974e-10,9.085223611111113e-10,1.5994252435389086e-09,4.6e-05,4
Linear Regression,3,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003681182861328,4.982948303222656e-05,622,2026-05-07T22:54:10.019951+00:00,2026-05-07T22:54:10.020322+00:00,2026-05-07T22:54:10.020326+00:00,2026-05-07T22:54:10.020377+00:00,5.572281943058974e-09,7.327430347222224e-09,1.28997122902812e-08,0.000371,4,7.66001021822123e-10,1.0072747916666668e-09,1.7732758134887898e-09,5.1e-05,4
Linear Regression +NLP,3,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004262924194335,4.458427429199219e-05,622,2026-05-07T22:54:10.020759+00:00,2026-05-07T22:54:10.021189+00:00,2026-05-07T22:54:10.021192+00:00,2026-05-07T22:54:10.021238+00:00,6.458439987912019e-09,8.49270902777778e-09,1.49511490156898e-08,0.00043,4,6.909028824277974e-10,9.085223611111113e-10,1.5994252435389086e-09,4.6e-05,4
Linear Regression,4,0.005647076821901,0.0751470346846837,0.0572568378940542,-0.0130986060672892,0.0003738403320312,4.38690185546875e-05,622,2026-05-07T22:54:10.021607+00:00,2026-05-07T22:54:10.021985+00:00,2026-05-07T22:54:10.021988+00:00,2026-05-07T22:54:10.022034+00:00,5.67741933821103e-09,7.465683750000001e-09,1.314310308821103e-08,0.000378,4,6.909028824277974e-10,9.085223611111113e-10,1.5994252435389086e-09,4.6e-05,4
Linear Regression +NLP,4,0.0056205454800683,0.074970297318794,0.056896970680794,-0.0083388221515587,0.0004220008850097,4.9591064453125e-05,622,2026-05-07T22:54:10.022389+00:00,2026-05-07T22:54:10.022815+00:00,2026-05-07T22:54:10.022818+00:00,2026-05-07T22:54:10.022869+00:00,6.3983614763965574e-09,8.413707083333336e-09,1.4812068559729892e-08,0.000426,4,7.66001021822123e-10,1.0072747916666668e-09,1.7732758134887898e-09,5.1e-05,4
